jahr,quartal,bereich_code,bereich_name,wert
2018,1,A,"Land- und Forstwirtschaft, Fischerei",6313.5
2018,1,BE,Produzierendes Gewerbe ohne Baugewerbe,159290.9
2018,1,F,Baugewerbe,33556.5
2018,1,GI,"Handel, Verkehr, Gastgewerbe",114905.7
2018,1,J,Information und Kommunikation,36987
2018,1,K,Finanz- und Versicherungsdienstleister,27296.9
2018,1,L,Grundstücks- und Wohnungswesen,75360.4
2018,1,MN,Unternehmensdienstleister,91061
2018,1,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",108777.3
2018,1,RU,Sonstige Dienstleister,24624.1
2018,2,A,"Land- und Forstwirtschaft, Fischerei",6510.5
2018,2,BE,Produzierendes Gewerbe ohne Baugewerbe,169598.8
2018,2,F,Baugewerbe,36131.5
2018,2,GI,"Handel, Verkehr, Gastgewerbe",123085.7
2018,2,J,Information und Kommunikation,37314.5
2018,2,K,Finanz- und Versicherungsdienstleister,28568.5
2018,2,L,Grundstücks- und Wohnungswesen,78835.7
2018,2,MN,Unternehmensdienstleister,97630.7
2018,2,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",115278.3
2018,2,RU,Sonstige Dienstleister,25933.7
2018,3,A,"Land- und Forstwirtschaft, Fischerei",6748
2018,3,BE,Produzierendes Gewerbe ohne Baugewerbe,169623.9
2018,3,F,Baugewerbe,36293.5
2018,3,GI,"Handel, Verkehr, Gastgewerbe",122583.2
2018,3,J,Information und Kommunikation,39102.9
2018,3,K,Finanz- und Versicherungsdienstleister,28144.8
2018,3,L,Grundstücks- und Wohnungswesen,79769.9
2018,3,MN,Unternehmensdienstleister,98093.1
2018,3,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",114871.2
2018,3,RU,Sonstige Dienstleister,26592.8
2018,4,A,"Land- und Forstwirtschaft, Fischerei",6819
2018,4,BE,Produzierendes Gewerbe ohne Baugewerbe,175454.3
2018,4,F,Baugewerbe,37136.9
2018,4,GI,"Handel, Verkehr, Gastgewerbe",129954.4
2018,4,J,Information und Kommunikation,40323.1
2018,4,K,Finanz- und Versicherungsdienstleister,30030.5
2018,4,L,Grundstücks- und Wohnungswesen,83604.1
2018,4,MN,Unternehmensdienstleister,100819.6
2018,4,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",121924.7
2018,4,RU,Sonstige Dienstleister,27898.4
2019,1,A,"Land- und Forstwirtschaft, Fischerei",6476.4
2019,1,BE,Produzierendes Gewerbe ohne Baugewerbe,166131.8
2019,1,F,Baugewerbe,35451.6
2019,1,GI,"Handel, Verkehr, Gastgewerbe",123690.4
2019,1,J,Information und Kommunikation,37713.3
2019,1,K,Finanz- und Versicherungsdienstleister,28237.8
2019,1,L,Grundstücks- und Wohnungswesen,78849.6
2019,1,MN,Unternehmensdienstleister,96424
2019,1,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",116683.3
2019,1,RU,Sonstige Dienstleister,26789.4
2019,2,A,"Land- und Forstwirtschaft, Fischerei",6922.1
2019,2,BE,Produzierendes Gewerbe ohne Baugewerbe,175266.5
2019,2,F,Baugewerbe,37231.3
2019,2,GI,"Handel, Verkehr, Gastgewerbe",127062.3
2019,2,J,Information und Kommunikation,40405.9
2019,2,K,Finanz- und Versicherungsdienstleister,29501.6
2019,2,L,Grundstücks- und Wohnungswesen,84520.2
2019,2,MN,Unternehmensdienstleister,101554.7
2019,2,OQ,"Öffentliche Dienstleister, Erziehung, Gesundheit",124768.3
2019,2,RU,Sonstige Dienstleister,27863
2019,3,A,"Land- und Forstwirtschaft, Fischerei",7115.7
2019,3,BE,Produzierendes Gewerbe ohne Baugewerbe,179071.7
2019,3,F,Baugewerbe,37839.7
